map2.txt
1.57,1.57,1.57,1.57,1.57,
1.50456,1.61333,1.65722,1.63944,1.74444,
1.43911,1.65667,1.74444,1.70889,1.91889,
1.37367,1.7,1.83167,1.77833,2.09333,
1.30822,1.74333,1.91889,1.84778,2.26778,
1.24278,1.78667,2.00611,1.91722,2.44222,
1.17733,1.83,2.09333,1.98667,2.61667,
1.11189,1.87333,2.18056,2.05611,2.79111,
1.04644,1.91667,2.26778,2.12556,2.96556,
0.981,1.96,2.355,2.195,3.14,
0.915556,2.00333,2.44222,2.26444,3.31444,
0.850111,2.04667,2.52944,2.33389,3.48889,
0.784667,2.09,2.61667,2.40333,3.66333,
0.719222,2.13333,2.70389,2.47278,3.83778,
0.653778,2.17667,2.79111,2.54222,4.01222,
0.588333,2.22,2.87833,2.61167,4.18667,
0.522889,2.26333,2.96556,2.68111,4.36111,
0.457444,2.30667,3.05278,2.75056,4.53556,
0.392,2.35,3.14,2.82,4.71,
